abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,flavortext
['Run Away'| 'Flash Fire'| 'Flame Body'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,500,60,Fire Horse Pokémon,70,1000000,1.7,65,Gallopギャロップ,Rapidash,50,78,80,80,105,fire,,95,1,0,"Very competitive, this Pokemon will chase anything that moves fast in the hopes of racing it."
['Oblivious'| 'Own Tempo'| 'Regenerator'],2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,Dopey Pokémon,65,1000000,1.2,90,Yadonヤドン,Slowpoke,50,79,40,40,15,water,psychic,36,1,0,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
['Oblivious'| 'Own Tempo'| 'Regenerator'],2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,590,75,Hermit Crab Pokémon,180,1000000,1.6,95,Yadoranヤドラン,Slowbro,50,80,130,80,30,water,psychic,78.5,1,0,The SHELLDER that is latched onto SLOWPOKE�s tail is said to feed on the host�s left over scraps.
['Magnet Pull'| 'Sturdy'| 'Analytic'],0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,325,190,Magnet Pokémon,70,1000000,0.3,25,Coilコイル,Magnemite,,81,95,55,45,electric,steel,6,1,0,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
['Magnet Pull'| 'Sturdy'| 'Analytic'],0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,465,60,Magnet Pokémon,95,1000000,1,50,Rarecoilレアコイル,Magneton,,82,120,70,70,electric,steel,60,1,0,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
['Keen Eye'| 'Inner Focus'| 'Defiant'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,5120,70,377,45,Wild Duck Pokémon,55,1000000,0.8,52,Kamonegiカモネギ,Farfetch'd,50,83,58,62,60,normal,flying,15,1,0,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
['Run Away'| 'Early Bird'| 'Tangled Feet'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,Twin Bird Pokémon,45,1000000,1.4,35,Dodoドードー,Doduo,50,84,35,35,75,normal,flying,39.2,1,0,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
['Run Away'| 'Early Bird'| 'Tangled Feet'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,Triple Bird Pokémon,70,1000000,1.8,60,Dodorioドードリオ,Dodrio,50,85,60,60,110,normal,flying,85.2,1,0,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
['Thick Fat'| 'Hydration'| 'Ice Body'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,325,190,Sea Lion Pokémon,55,1000000,1.1,65,Pawouパウワウ,Seel,50,86,45,70,45,water,,90,1,0,The protruding horn on its head is very hard. It is used for bashing through thick ice.
['Thick Fat'| 'Hydration'| 'Ice Body'],1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,Sea Lion Pokémon,80,1000000,1.7,90,Jugonジュゴン,Dewgong,50,87,70,95,70,water,ice,120,1,0,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
['Stench'| 'Sticky Hold'| 'Poison Touch'| 'Poison Touch'| 'Gluttony'| 'Power of Alchemy'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,Sludge Pokémon,50,1000000,,80,Betbeterベトベター,Grimer,50,88,40,50,25,poison,poison,,1,0,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
['Stench'| 'Sticky Hold'| 'Poison Touch'| 'Poison Touch'| 'Gluttony'| 'Power of Alchemy'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,500,75,Sludge Pokémon,75,1000000,,105,Betbetonベトベトン,Muk,50,89,65,100,50,poison,poison,,1,0,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
['Shell Armor'| 'Skill Link'| 'Overcoat'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,Bivalve Pokémon,100,1250000,0.3,30,Shellderシェルダー,Shellder,50,90,45,25,40,water,,4,1,0,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
['Shell Armor'| 'Skill Link'| 'Overcoat'],1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,Bivalve Pokémon,180,1250000,1.5,50,Parshenパルシェン,Cloyster,50,91,85,45,70,water,ice,132.5,1,0,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,310,190,Gas Pokémon,30,1059860,1.3,30,Ghosゴース,Gastly,50,92,100,35,80,ghost,poison,0.1,1,0,"Almost invisible, this gaseous Pokemon cloaks the target and puts it to sleep without notice."
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,405,90,Gas Pokémon,45,1059860,1.6,45,Ghostゴースト,Haunter,50,93,115,55,95,ghost,poison,0.1,1,0,"Because of its ability to slip through block walls, it is said to be from another dimension."
['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,600,45,Shadow Pokémon,80,1059860,1.5,60,Gangarゲンガー,Gengar,50,94,170,95,130,ghost,poison,40.5,1,0,"Under a full moon, this Pokemon likes to mimic the shadows of people and laugh at their fright."
['Rock Head'| 'Sturdy'| 'Weak Armor'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,385,45,Rock Snake Pokémon,160,1000000,8.8,35,Iwarkイワーク,Onix,50,95,30,45,70,rock,ground,210,1,0,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
['Insomnia'| 'Forewarn'| 'Inner Focus'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,5120,70,328,190,Hypnosis Pokémon,45,1000000,1,60,Sleepeスリープ,Drowzee,50,96,43,90,42,psychic,,32.4,1,0,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
['Insomnia'| 'Forewarn'| 'Inner Focus'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,73,5120,70,483,75,Hypnosis Pokémon,70,1000000,1.6,85,Sleeperスリーパー,Hypno,50,97,73,115,67,psychic,,75.6,1,0,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
['Hyper Cutter'| 'Shell Armor'| 'Sheer Force'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,325,225,River Crab Pokémon,90,1000000,0.4,30,Crabクラブ,Krabby,50,98,25,25,50,water,,6.5,1,0,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
['Hyper Cutter'| 'Shell Armor'| 'Sheer Force'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,5120,70,475,60,Pincer Pokémon,115,1000000,1.3,55,Kinglerキングラー,Kingler,50,99,50,50,75,water,,60,1,0,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
['Soundproof'| 'Static'| 'Aftermath'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,5120,70,330,190,Ball Pokémon,50,1000000,0.5,40,Biriridamaビリリダマ,Voltorb,,100,55,55,100,electric,,10.4,1,0,"Usually found in power plants. Easily mistaken for a POK� BALL, they have zapped many people."
['Soundproof'| 'Static'| 'Aftermath'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,490,60,Ball Pokémon,70,1000000,1.2,60,Marumineマルマイン,Electrode,,101,80,80,150,electric,,66.6,1,0,It stores electric energy under very high pressure. It often explodes with little or no provocation.
['Chlorophyll'| 'Harvest'],4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,5120,70,325,90,Egg Pokémon,80,1250000,0.4,60,Tamatamaタマタマ,Exeggcute,50,102,60,45,40,grass,psychic,2.5,1,0,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
['Chlorophyll'| 'Harvest'| 'Frisk'| 'Harvest'],4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,5120,70,530,45,Coconut Pokémon,85,1250000,,95,Nassyナッシー,Exeggutor,50,103,125,75,45,grass,psychic,,1,0,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
['Rock Head'| 'Lightningrod'| 'Battle Armor'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,320,190,Lonely Pokémon,95,1000000,0.4,50,Karakaraカラカラ,Cubone,50,104,40,50,35,ground,,6.5,1,0,"Because it never removes its skull helmet, no one has ever seen this Pokemon�s real face."
['Rock Head'| 'Lightningrod'| 'Battle Armor'| 'Cursed Body'| 'Lightningrod'| 'Rock Head'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,5120,70,425,75,Bone Keeper Pokémon,110,1000000,,60,Garagaraガラガラ,Marowak,50,105,50,80,45,ground,fire,,1,0,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
['Limber'| 'Reckless'| 'Unburden'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,6400,70,455,45,Kicking Pokémon,53,1000000,1.5,50,Sawamularサワムラー,Hitmonlee,100,106,35,110,87,fighting,,49.8,1,0,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
['Keen Eye'| 'Iron Fist'| 'Inner Focus'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,6400,70,455,45,Punching Pokémon,79,1000000,1.4,50,Ebiwalarエビワラー,Hitmonchan,100,107,35,110,76,fighting,,50.2,1,0,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
['Own Tempo'| 'Oblivious'| 'Cloud Nine'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,385,45,Licking Pokémon,75,1000000,1.2,90,Beroringaベロリンガ,Lickitung,50,108,60,75,30,normal,,65.5,1,0,Its tongue can be extended like a chameleon�s. It leaves a tingling sensation when it licks enemies.
['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,5120,70,340,190,Poison Gas Pokémon,95,1000000,0.6,40,Dogarsドガース,Koffing,50,109,60,45,35,poison,,1,1,0,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,5120,70,490,60,Poison Gas Pokémon,120,1000000,1.2,65,Matadogasマタドガス,Weezing,50,110,85,70,60,poison,,9.5,1,0,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
['Lightningrod'| 'Rock Head'| 'Reckless'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,5120,70,345,120,Spikes Pokémon,95,1250000,1,80,Sihornサイホーン,Rhyhorn,50,111,30,30,25,ground,rock,115,1,0,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.
['Lightningrod'| 'Rock Head'| 'Reckless'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,5120,70,485,60,Drill Pokémon,120,1250000,1.9,105,Sidonサイドン,Rhydon,50,112,45,45,40,ground,rock,120,1,0,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
['Natural Cure'| 'Serene Grace'| 'Healer'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,450,30,Egg Pokémon,5,800000,1.1,250,Luckyラッキー,Chansey,0,113,35,105,50,normal,,34.6,1,0,A rare and elusive Pokemon that is said to bring happiness to those who manage to get it.
['Chlorophyll'| 'Leaf Guard'| 'Regenerator'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,5120,70,435,45,Vine Pokémon,115,1000000,1,65,Monjaraモンジャラ,Tangela,50,114,100,40,60,grass,,35,1,0,The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks.
['Early Bird'| 'Scrappy'| 'Inner Focus'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,5120,70,590,45,Parent Pokémon,100,1000000,2.2,105,Garuraガルーラ,Kangaskhan,0,115,60,100,100,normal,,80,1,0,The infant rarely ventures out of its mother�s protective pouch until it is 3 years old.
['Swift Swim'| 'Sniper'| 'Damp'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,5120,70,295,225,Dragon Pokémon,70,1000000,0.4,30,Tattuタッツー,Horsea,50,116,70,25,60,water,,8,1,0,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
['Poison Point'| 'Sniper'| 'Damp'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,440,75,Dragon Pokémon,95,1000000,1.2,55,Seadraシードラ,Seadra,50,117,95,45,85,water,,25,1,0,Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
['Swift Swim'| 'Water Veil'| 'Lightningrod'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,5120,70,320,225,Goldfish Pokémon,60,1000000,0.6,45,Tosakintoトサキント,Goldeen,50,118,35,50,63,water,,15,1,0,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
['Swift Swim'| 'Water Veil'| 'Lightningrod'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,5120,70,450,60,Goldfish Pokémon,65,1000000,1.3,80,Azumaoアズマオウ,Seaking,50,119,65,80,68,water,,39,1,0,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
['Illuminate'| 'Natural Cure'| 'Analytic'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,340,225,Starshape Pokémon,55,1250000,0.8,30,Hitodemanヒトデマン,Staryu,,120,70,55,85,water,,34.5,1,0,An enigmatic Pokemon that can effortlessly regenerate any appendage it loses in battle.
['Illuminate'| 'Natural Cure'| 'Analytic'],2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,520,60,Mysterious Pokémon,85,1250000,1.1,60,Starmieスターミー,Starmie,,121,100,85,115,water,psychic,80,1,0,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
['Soundproof'| 'Filter'| 'Technician'],1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,6400,70,460,45,Barrier Pokémon,65,1000000,1.3,40,Barrierdバリヤード,Mr. Mime,50,122,100,120,90,psychic,fairy,54.5,1,0,"If interrupted while it is miming, it will slap around the offender with its broad hands."
['Swarm'| 'Technician'| 'Steadfast'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,6400,70,500,45,Mantis Pokémon,80,1000000,1.5,70,Strikeストライク,Scyther,50,123,55,80,105,bug,flying,56,1,0,"With ninja-like agility and speed, it can create the illusion that there is more than one."
['Oblivious'| 'Forewarn'| 'Dry Skin'],2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,6400,70,455,45,Humanshape Pokémon,35,1000000,1.4,65,Rougelaルージュラ,Jynx,0,124,115,95,95,ice,psychic,40.6,1,0,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
['Static'| 'Vital Spirit'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,6400,70,490,45,Electric Pokémon,57,1000000,1.1,65,Elebooエレブー,Electabuzz,75.4,125,95,85,105,electric,,30,1,0,"Normally found near power plants, they can wander away and cause major blackouts in cities."
['Flame Body'| 'Vital Spirit'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,6400,70,495,45,Spitfire Pokémon,57,1000000,1.3,65,Booberブーバー,Magmar,75.4,126,100,85,93,fire,,44.5,1,0,Its body always burns with an orange glow that enables it to hide perfectly among flames.
['Hyper Cutter'| 'Mold Breaker'| 'Moxie'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,6400,70,600,45,Stagbeetle Pokémon,120,1250000,1.5,65,Kailiosカイロス,Pinsir,50,127,65,90,105,bug,,55,1,0,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
['Intimidate'| 'Anger Point'| 'Sheer Force'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,70,490,45,Wild Bull Pokémon,95,1250000,1.4,75,Kentaurosケンタロス,Tauros,100,128,40,70,110,normal,,88.4,1,0,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
['Swift Swim'| 'Rattled'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,1280,70,200,255,Fish Pokémon,55,1250000,0.9,20,Koikingコイキング,Magikarp,50,129,15,20,80,water,,10,1,0,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
['Intimidate'| 'Moxie'],0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,1280,70,640,45,Atrocious Pokémon,109,1250000,6.5,95,Gyaradosギャラドス,Gyarados,50,130,70,130,81,water,flying,235,1,0,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
['Water Absorb'| 'Shell Armor'| 'Hydration'],1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,10240,70,535,45,Transport Pokémon,80,1250000,2.5,130,Laplaceラプラス,Lapras,50,131,85,95,60,water,ice,220,1,0,A Pokemon that has been overhunted almost to extinction. It can ferry people across the water.
['Limber'| 'Imposter'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,288,35,Transform Pokémon,48,1000000,0.3,48,Metamonメタモン,Ditto,,132,48,48,48,normal,,4,1,0,Capable of copying an enemy�s genetic code to instantly transform itself into a duplicate of the enemy.
['Run Away'| 'Adaptability'| 'Anticipation'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,8960,70,325,45,Evolution Pokémon,50,1000000,0.3,55,Eievuiイーブイ,Eevee,88.1,133,45,65,55,normal,,6.5,1,0,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
['Water Absorb'| 'Hydration'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,8960,70,525,45,Bubble Jet Pokémon,60,1000000,1,130,Showersシャワーズ,Vaporeon,88.1,134,110,95,65,water,,29,1,0,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid�s.
['Volt Absorb'| 'Quick Feet'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,8960,70,525,45,Lightning Pokémon,60,1000000,0.8,65,Thundersサンダース,Jolteon,88.1,135,110,95,130,electric,,24.5,1,0,It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts.
['Flash Fire'| 'Guts'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,130,8960,70,525,45,Flame Pokémon,60,1000000,0.9,65,Boosterブースター,Flareon,88.1,136,95,110,65,fire,,25,1,0,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
['Trace'| 'Download'| 'Analytic'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,395,45,Virtual Pokémon,70,1000000,0.8,65,Porygonポリゴン,Porygon,,137,85,75,40,normal,,36.5,1,0,A Pokemon that consists entirely of programming code. Capable of moving freely in cyberspace.
['Swift Swim'| 'Shell Armor'| 'Weak Armor'],1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,40,7680,70,355,45,Spiral Pokémon,100,1000000,0.4,35,Omniteオムナイト,Omanyte,88.1,138,90,55,35,rock,water,7.5,1,0,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
['Swift Swim'| 'Shell Armor'| 'Weak Armor'],1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,7680,70,495,45,Spiral Pokémon,125,1000000,1,70,Omstarオムスター,Omastar,88.1,139,115,70,55,rock,water,35,1,0,A prehistoric Pokemon that died out when its heavy shell made it impossible to catch prey.
['Swift Swim'| 'Battle Armor'| 'Weak Armor'],1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,7680,70,355,45,Shellfish Pokémon,90,1000000,0.5,30,Kabutoカブト,Kabuto,88.1,140,55,45,55,rock,water,11.5,1,0,A Pokemon that was resurrected from a fossil found in what was once the ocean floor eons ago.
['Swift Swim'| 'Battle Armor'| 'Weak Armor'],1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,115,7680,70,495,45,Shellfish Pokémon,105,1000000,1.3,60,Kabutopsカブトプス,Kabutops,88.1,141,65,70,80,rock,water,40.5,1,0,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.
['Rock Head'| 'Pressure'| 'Unnerve'],0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,8960,70,615,45,Fossil Pokémon,85,1250000,1.8,80,Pteraプテラ,Aerodactyl,88.1,142,70,95,150,rock,flying,59,1,0,"A ferocious, prehistoric Pokemon that goes for the enemy�s throat with its serrated saw-like fangs."
['Immunity'| 'Thick Fat'| 'Gluttony'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,10240,70,540,25,Sleeping Pokémon,65,1250000,2.1,160,Kabigonカビゴン,Snorlax,88.1,143,65,110,30,normal,,460,1,0,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
['Pressure'| 'Snow Cloak'],0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,20480,35,580,3,Freeze Pokémon,100,1250000,1.7,90,Freezerフリーザー,Articuno,,144,95,125,85,ice,flying,55.4,1,1,A legendary bird Pokemon that is said to appear to doomed people who are lost in icy mountains.
['Pressure'| 'Static'],0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,20480,35,580,3,Electric Pokémon,85,1250000,1.6,90,Thunderサンダー,Zapdos,,145,125,90,100,electric,flying,52.6,1,1,A legendary bird Pokemon that is said to appear from clouds while dropping enormous lightning bolts.
['Pressure'| 'Flame Body'],0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,100,20480,35,580,3,Flame Pokémon,90,1250000,2,90,Fireファイヤー,Moltres,,146,125,85,90,fire,flying,60,1,1,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
['Shed Skin'| 'Marvel Scale'],1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,300,45,Dragon Pokémon,45,1250000,1.8,41,Miniryuミニリュウ,Dratini,50,147,50,50,50,dragon,,3.3,1,0,Long considered a mythical Pokemon until recently when a small colony was found living underwater.
['Shed Skin'| 'Marvel Scale'],1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,10240,35,420,45,Dragon Pokémon,65,1250000,4,61,Hakuryuハクリュー,Dragonair,50,148,70,70,70,dragon,,16.5,1,0,A mystical Pokemon that exudes a gentle aura. Has the ability to change climate conditions.
['Inner Focus'| 'Multiscale'],0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,10240,35,600,45,Dragon Pokémon,95,1250000,2.2,91,Kairyuカイリュー,Dragonite,50,149,100,100,80,dragon,flying,210,1,0,An extremely rarely seen marine Pokemon. Its intelligence is said to match that of humans.
['Pressure'| 'Unnerve'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,150,30720,0,780,3,Genetic Pokémon,70,1250000,2,106,Mewtwoミュウツー,Mewtwo,,150,194,120,140,psychic,,122,1,1,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
['Synchronize'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,30720,100,600,45,New Species Pokémon,100,1059860,0.4,100,Mewミュウ,Mew,,151,100,100,100,psychic,,4,1,1,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
['Overgrow'| 'Leaf Guard'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,5120,70,318,45,Leaf Pokémon,65,1059860,0.9,45,Chicoritaチコリータ,Chikorita,88.1,152,49,65,45,grass,,6.4,2,0,
['Overgrow'| 'Leaf Guard'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,5120,70,405,45,Leaf Pokémon,80,1059860,1.2,60,Bayleafベイリーフ,Bayleef,88.1,153,63,80,60,grass,,15.8,2,0,
['Overgrow'| 'Leaf Guard'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,82,5120,70,525,45,Herb Pokémon,100,1059860,1.8,80,Meganiumメガニウム,Meganium,88.1,154,83,100,80,grass,,100.5,2,0,
['Blaze'| 'Flash Fire'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Fire Mouse Pokémon,43,1059860,0.5,39,Hinoarashiヒノアラシ,Cyndaquil,88.1,155,60,50,65,fire,,7.9,2,0,
['Blaze'| 'Flash Fire'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Volcano Pokémon,58,1059860,0.9,58,Magmarashiマグマラシ,Quilava,88.1,156,80,65,80,fire,,19,2,0,
['Blaze'| 'Flash Fire'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,84,5120,70,534,45,Volcano Pokémon,78,1059860,1.7,78,Bakphoonバクフーン,Typhlosion,88.1,157,109,85,100,fire,,79.5,2,0,
['Torrent'| 'Sheer Force'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,314,45,Big Jaw Pokémon,64,1059860,0.6,50,Waninokoワニノコ,Totodile,88.1,158,44,48,43,water,,9.5,2,0,
